url,label
anno3000.altervista.org,misleading
corrieredelcorsaro.it,misleading
corrieredelmattino.altervista.org,misleading
direttanews.it,misleading
gazzettadellasera.com,misleading
gazzettinoweb.altervista.org,misleading
ilcazzoquotidiano.altervista.org/blog ,misleading
Notiziepericolose.blogspot.com,misleading
www.facebook.com/IlFalloQuotidiano,misleading
www.ilfattoquotidaino.it,misleading
www.ilgiornaliere.com,misleading
ilgiomale.it,misleading
 www.ilgiornaleitaliano.it,misleading
www.ilmattoquotidiano.it,misleading
inews24.it,misleading
ioco.altervista.org,misleading
lavocea5stelle.altervista.org,misleading
liberogiornale.it,misleading
liberogiornale.com,misleading
notiziespericolate.com,misleading
news24roma.altervista.org,misleading
news24tg.com,misleading
news24europa.com,misleading
Notiziea5stelle.com,misleading
panorana.it,misleading
paperera.com,misleading
sky24ore.it,misleading
strafattiquotidiani.wordpress.com,misleading
www.ilgiornaledeiticinesi.info,satire
www.lercio.it,satire
ticinoinforna.com,satire
twitter.com/cbugliano,satire
twitter.com/VigileVittorino,satire
bbspot.com,fake news
www.betootaadvocate.com,fake news
collegehumor.com,fake news
dailybuzzlive.com,fake news
dailycurrant.com,fake news
empirenews.net,fake news
www.empiresports.co,fake news
www.freewoodpost.com,fake news
huzlers.com,fake news
www.journaldemourreal.com,fake news
www.lightlybraisedturnip.com,fake news
en.mediamass.net,fake news
nationalreport.net,fake news
newsexaminer.net,fake news
www.newyorker.com/humor/borowitz-report,fake news
www.thenewsnerd.com,fake news
theonion.com,satire
www.thepoke.co.uk,fake news
weeklyworldnews.com,fake news
worldnewsdailyreport.com,fake news
